N,P,K,temperature,humidity,ph,rainfall,label
74.9,49.49,45.7,29.56,50.85,5.89,110.16,Mango
119.32,86.8,100.21,15.94,71.8,6.12,106.51,Potato
90.05,40.78,55.2,32.79,46.81,7.59,98.96,Cotton
111.15,89.61,105.13,15.01,78.92,6.15,105.88,Potato
121.02,77.66,120.08,21.16,71.82,5.72,109.02,Potato
68.93,35.37,61.4,32.93,56.17,5.72,83.76,Mango
101.62,69.93,73.12,19.88,64.66,7.29,69.78,Wheat
85.94,55.46,69.61,27.31,60.54,6.35,109.11,Tomato
57.26,42.07,58.88,30.16,67.68,6.19,71.99,Mango
85.42,51.95,57.32,34.47,81.06,6.15,247.24,Rice
32.01,75.18,41.39,18.24,42.64,7.04,51.44,Chickpea
32.49,72.82,66.93,22.57,67.82,6.53,96.48,Soybean
104.18,64.12,74.86,24.85,66.17,6.54,89.52,Tomato
87.85,60.09,79.96,21.35,58.29,6.7,88.06,Onion
71.56,51.44,44.32,16.48,45.09,6.03,28.3,Mustard
64.91,32.75,57.85,32.67,63.79,6.87,76.03,Mango
113.65,65.75,78.58,12.76,61.53,6.73,70.77,Wheat
66.43,48.84,49.56,36.26,50.36,7.66,55.25,Jowar
25.82,72.27,45.43,24.89,66.76,6.6,93.38,Soybean
108.45,41.19,48.57,34.93,81.76,7.1,200.93,Jute
70.5,46.66,45.78,37.26,50.88,7.41,38.83,Jowar
130.0,64.43,94.48,34.41,70.91,6.6,151.9,Sugarcane
100.22,87.28,101.98,21.57,70.42,5.97,101.39,Potato
78.25,26.78,44.87,34.8,54.49,6.43,38.5,Bajra
105.6,56.29,120.62,21.95,83.79,5.88,113.66,Potato
80.68,28.97,45.71,30.33,56.56,6.6,54.05,Jowar
72.02,38.14,53.08,30.76,44.78,7.99,87.14,Cotton
82.56,52.02,42.85,34.34,84.33,6.38,211.84,Jute
100.77,64.18,129.41,35.07,76.26,6.02,148.73,Banana
92.23,32.45,47.67,16.86,54.62,7.16,59.99,Barley
96.63,51.98,42.3,25.94,89.1,6.67,241.46,Rice
20.06,74.11,38.37,20.3,40.91,7.33,37.37,Chickpea
108.59,63.4,115.5,18.56,73.4,5.9,81.19,Potato
123.66,88.04,106.48,20.55,74.05,6.08,83.93,Potato
99.16,43.9,58.22,37.58,88.08,6.5,174.58,Jute
29.95,73.18,25.31,13.81,51.52,7.51,39.17,Lentil
81.18,56.38,55.66,16.01,66.4,6.79,80.03,Onion
89.76,42.19,50.96,29.54,88.44,6.1,224.41,Rice
83.06,51.56,56.41,13.33,53.15,6.29,26.67,Mustard
111.01,67.38,116.49,28.95,89.3,6.47,189.28,Banana
88.97,46.06,68.56,18.0,61.48,6.82,84.34,Onion
98.57,48.56,59.33,34.64,88.53,6.29,219.25,Rice
85.14,54.82,48.87,28.45,84.31,6.3,179.22,Jute
85.65,33.18,45.08,36.88,50.5,7.55,84.38,Cotton
83.3,37.32,42.12,37.95,47.04,6.55,60.74,Bajra
98.26,50.23,50.03,32.98,86.5,6.7,239.79,Rice
126.88,74.44,118.11,17.42,70.28,5.22,115.53,Potato
24.56,71.36,26.69,19.6,36.82,7.14,33.25,Lentil
80.79,44.39,42.81,34.7,43.01,7.79,91.35,Cotton
137.26,63.83,93.66,37.3,83.61,6.56,160.29,Sugarcane
79.59,46.21,59.0,16.86,54.29,6.95,31.92,Mustard
92.77,54.41,48.54,29.05,81.27,6.6,204.29,Jute
109.23,71.56,122.1,20.2,77.36,5.32,91.72,Potato
107.16,32.13,54.69,36.85,89.26,6.86,236.38,Jute
18.76,78.85,34.02,13.04,36.87,7.27,35.94,Lentil
27.92,71.45,58.93,26.64,58.17,6.52,90.04,Groundnut
23.86,71.3,25.52,16.39,45.11,6.61,30.21,Lentil
77.64,30.8,42.45,28.47,44.31,6.44,58.75,Jowar
21.85,76.79,47.55,20.94,44.14,7.73,35.87,Chickpea
20.79,74.34,49.43,17.29,51.33,7.49,48.34,Chickpea
107.34,58.67,76.44,24.97,61.57,6.29,110.3,Maize
34.46,53.08,38.35,24.97,53.59,5.81,107.5,Groundnut
52.77,34.93,58.85,31.53,63.98,6.82,107.45,Mango
92.48,42.34,58.8,31.28,83.35,6.14,239.7,Rice
91.52,52.53,72.17,26.75,67.0,6.44,147.1,Maize
84.34,38.32,64.94,34.66,84.51,7.02,188.94,Jute
34.87,66.1,39.69,17.78,48.1,7.88,44.0,Chickpea
58.06,41.85,43.02,35.63,46.03,6.76,56.74,Jowar
60.38,25.71,54.91,33.71,54.95,6.65,85.41,Mango
32.48,72.76,36.26,15.52,44.53,6.77,49.36,Chickpea
100.12,54.55,81.2,21.61,64.53,6.53,70.26,Tomato
119.45,63.6,79.56,13.55,60.24,7.16,71.46,Wheat
76.11,35.37,58.32,11.52,40.87,6.33,46.81,Mustard
